record_id,date,route_id,vessel_type_id,port_id,distance_nm,freight_rate_usd,transit_delay_days,trade_volume_tons,ghg_emission_tons,period_status
1,2025-05-10,3,4,103,6141,3372,7,18409,17249.5,Post-Disruption
2,2025-12-31,4,1,101,1523,1906,4,83667,4617.5,Post-Disruption
3,2025-11-10,1,2,101,8629,2375,5,23623,23190.5,Post-Disruption
4,2023-05-02,2,1,101,11901,4312,15,43463,30496.5,Pre-Disruption
5,2024-04-11,2,1,102,11806,4543,15,47885,30352.0,During-Disruption
6,2023-11-27,4,4,103,1691,1934,2,50715,4790.5,During-Disruption
7,2023-03-29,4,3,104,1690,1978,3,64491,5445.0,Pre-Disruption
8,2025-05-21,1,1,104,8573,2833,7,47405,22658.5,Post-Disruption
9,2023-05-11,3,2,103,6186,3439,8,65428,16430.0,Pre-Disruption
10,2025-02-08,1,4,104,8404,2532,4,76788,21520.0,Post-Disruption
11,2023-12-10,1,2,101,8571,2339,6,67527,22717.5,During-Disruption
12,2025-03-16,1,3,103,8520,2484,4,75766,23136.0,Post-Disruption
13,2024-01-21,2,3,102,11855,4342,14,49364,31241.5,During-Disruption
14,2025-08-13,2,1,103,11786,4268,14,80686,30948.0,Post-Disruption
15,2023-10-04,1,1,101,8497,2385,4,15828,22111.5,Pre-Disruption
16,2024-04-04,2,3,103,11834,4109,13,45949,31273.0,During-Disruption
17,2023-01-22,1,1,102,8406,2234,6,56234,22601.0,Pre-Disruption
18,2023-09-10,2,2,102,11959,4221,12,57187,30476.5,Pre-Disruption
19,2025-01-17,1,3,103,8431,2821,6,79780,22629.5,Post-Disruption
20,2025-05-06,1,3,103,8427,2713,6,79385,22586.5,Post-Disruption
21,2024-04-19,2,1,104,11959,4098,14,59210,31871.5,During-Disruption
22,2025-12-18,1,1,104,8643,2830,6,48448,23090.5,Post-Disruption
23,2024-05-25,2,1,101,11963,4009,15,23073,30680.5,During-Disruption
24,2024-11-30,1,2,104,8541,2784,6,24834,22795.5,During-Disruption
25,2025-09-02,2,1,101,11729,4208,12,67263,31246.5,Post-Disruption
26,2023-07-09,1,2,101,8529,2835,6,34366,22062.5,Pre-Disruption
27,2025-08-15,2,1,103,11965,4037,12,20075,31765.5,Post-Disruption
28,2024-11-17,3,2,104,6169,2993,6,47174,17174.5,During-Disruption
29,2025-08-15,1,1,102,8518,2432,5,62990,22459.0,Post-Disruption
30,2024-07-16,2,2,102,11769,4162,12,15242,30277.5,During-Disruption
31,2025-04-11,1,1,103,8607,2851,4,45884,22320.5,Post-Disruption
32,2024-10-08,2,1,102,11790,4241,13,36438,30317.0,During-Disruption
33,2023-01-21,1,4,102,8519,2881,6,31863,21974.5,Pre-Disruption
34,2025-04-20,2,1,103,11906,4097,15,78770,31307.0,Post-Disruption
35,2023-06-16,2,2,102,11955,4382,13,20214,31741.5,Pre-Disruption
36,2024-01-23,4,4,103,1434,2178,4,79642,5149.0,During-Disruption
37,2024-08-23,2,2,101,11823,4288,14,52798,30317.5,During-Disruption
38,2023-11-12,2,4,104,11811,4615,14,73117,31312.5,During-Disruption
39,2023-01-14,2,1,102,11906,4140,15,56168,30651.0,Pre-Disruption
40,2023-08-30,4,1,103,1501,1802,4,24737,4552.5,Pre-Disruption
41,2025-02-15,3,1,102,6293,3387,6,39532,17485.5,Post-Disruption
42,2024-07-18,1,1,104,8640,2603,6,27188,22686.0,During-Disruption
43,2025-06-16,3,1,102,6246,3316,7,80358,17250.0,Post-Disruption
44,2023-04-02,2,1,101,11831,4305,13,48248,30439.5,Pre-Disruption
45,2025-08-13,3,2,103,6319,3036,8,65700,17042.5,Post-Disruption
46,2024-05-23,3,4,104,6203,3517,9,40579,16182.5,During-Disruption
47,2025-02-14,1,1,101,8440,2329,7,44035,22007.0,Post-Disruption
48,2023-02-04,3,1,102,6155,3524,7,49405,17276.5,Pre-Disruption
49,2023-07-25,1,1,102,8649,2315,7,50028,22681.5,Pre-Disruption
50,2025-10-22,1,1,102,8641,2337,5,32576,22511.5,Post-Disruption
51,2025-10-18,1,3,104,8526,2614,4,17017,21991.0,Post-Disruption
52,2024-07-19,3,1,103,6249,3060,6,78322,17619.5,During-Disruption
53,2024-12-03,1,1,104,8548,2819,4,28885,22613.0,During-Disruption
54,2024-02-06,1,3,101,8568,2447,6,36419,23382.0,During-Disruption
55,2024-12-30,3,4,103,6144,3033,9,63764,16759.0,During-Disruption
56,2023-06-11,1,2,104,8483,2725,4,61753,21755.5,Pre-Disruption
57,2023-07-21,1,2,102,8407,2789,5,55978,22328.5,Pre-Disruption
58,2025-09-22,1,1,101,8506,2470,4,73853,22046.0,Post-Disruption
59,2023-09-27,1,1,102,8664,2424,7,45553,23650.0,Pre-Disruption
60,2025-03-26,2,1,104,11845,4120,13,63214,30580.5,Post-Disruption
61,2024-03-31,1,1,101,8430,2662,4,50052,22809.0,During-Disruption
62,2025-10-13,4,4,103,1643,1839,4,82687,5757.5,Post-Disruption
63,2023-10-23,3,2,103,6134,2920,7,32320,16856.0,Pre-Disruption
64,2024-12-20,1,1,104,8646,2647,4,64388,23455.0,During-Disruption
65,2023-12-04,1,1,104,8417,2528,4,66123,21837.5,During-Disruption
66,2025-05-28,2,1,103,11723,4447,15,44866,30420.5,Post-Disruption
67,2025-12-12,2,2,103,11977,4604,12,63265,31484.5,Post-Disruption
68,2025-03-02,1,1,104,8429,2454,7,43325,22293.5,Post-Disruption
69,2023-08-05,1,1,103,8542,2361,4,78525,22508.0,Pre-Disruption
70,2025-02-02,3,2,101,6376,3202,7,24134,17754.0,Post-Disruption
71,2023-07-07,1,1,104,8411,2387,4,80926,22376.5,Pre-Disruption
72,2024-01-15,1,1,101,8602,2823,6,83344,23175.0,During-Disruption
73,2024-05-07,3,1,102,6349,2929,6,84387,17484.5,During-Disruption
74,2025-11-30,2,1,101,11802,4435,15,27904,30851.0,Post-Disruption
75,2023-01-15,1,1,104,8434,2514,4,62520,21824.0,Pre-Disruption
76,2023-03-06,2,1,102,11719,4387,14,36464,30695.5,Pre-Disruption
77,2024-06-04,1,3,103,8446,2879,5,61366,22469.0,During-Disruption
78,2024-10-09,3,3,101,6183,3379,8,40854,17414.5,During-Disruption
79,2025-12-22,2,2,101,11967,4607,13,77998,31068.5,Post-Disruption
80,2024-08-15,3,4,104,6152,3034,8,58334,16999.0,During-Disruption
81,2024-01-27,4,1,103,1672,1637,3,62687,5690.0,During-Disruption
82,2024-02-23,4,4,104,1417,1887,3,48397,4223.5,During-Disruption
83,2023-10-16,4,1,103,1503,1668,2,26813,5116.5,Pre-Disruption
84,2024-01-14,2,1,104,11851,4066,12,72499,30864.5,During-Disruption
85,2023-08-19,1,1,103,8564,2767,7,65302,22102.0,Pre-Disruption
86,2025-10-14,2,1,102,11783,4191,12,83587,31118.5,Post-Disruption
87,2023-02-10,2,4,104,11850,4119,14,22086,30494.0,Pre-Disruption
88,2025-11-17,3,1,102,6136,3300,7,22735,16332.0,Post-Disruption
89,2023-05-15,1,1,104,8551,2599,5,23828,22744.5,Pre-Disruption
90,2023-07-20,4,1,104,1607,2122,1,40485,5785.5,Pre-Disruption
91,2025-02-18,3,1,104,6149,3557,7,64172,16736.5,Post-Disruption
92,2025-07-18,4,1,101,1619,1613,2,69797,5975.5,Post-Disruption
93,2025-11-22,3,1,104,6146,3445,8,20360,17036.0,Post-Disruption
94,2025-12-07,1,1,103,8417,2797,5,70402,21911.5,Post-Disruption
95,2024-05-17,1,4,101,8521,2668,5,68963,22458.5,During-Disruption
96,2024-02-11,1,1,103,8681,2353,6,67132,22317.5,During-Disruption
97,2025-03-15,1,1,103,8519,2369,4,42259,23122.5,Post-Disruption
98,2023-04-09,2,2,103,11950,4678,15,25016,31304.0,Pre-Disruption
99,2024-11-14,3,4,103,6398,3285,9,48009,17340.0,During-Disruption
100,2024-12-26,3,1,103,6146,3596,9,26787,15985.0,During-Disruption
101,2025-08-18,2,1,102,11784,4305,12,23692,30917.0,Post-Disruption
102,2024-09-04,1,4,101,8698,2824,5,18542,23495.0,During-Disruption
103,2024-10-04,1,1,103,8559,2855,6,61098,22627.5,During-Disruption
104,2025-10-25,1,2,102,8406,2517,4,47058,21593.0,Post-Disruption
105,2024-05-17,1,1,102,8644,2553,7,27148,23088.0,During-Disruption
106,2025-02-05,2,4,103,11914,4210,13,58788,31654.0,Post-Disruption
107,2024-02-02,1,4,104,8611,2893,7,60731,22166.5,During-Disruption
108,2025-05-20,1,3,103,8611,2654,7,23413,22847.5,Post-Disruption
109,2025-03-05,1,1,102,8687,2866,7,19838,22956.5,Post-Disruption
110,2024-01-28,2,1,103,11917,4191,12,70173,30580.5,During-Disruption
111,2023-07-26,2,1,102,11950,4592,13,49859,30703.0,Pre-Disruption
112,2025-11-04,2,4,103,11880,4334,15,51716,31071.0,Post-Disruption
113,2025-06-10,2,4,102,11791,4560,12,72168,31430.5,Post-Disruption
114,2025-05-13,4,1,103,1617,2166,3,47647,4641.5,Post-Disruption
115,2025-01-12,1,2,104,8689,2266,6,77187,23252.5,Post-Disruption
